caseid,sct,led,term,chief,value,mow,courtmedianqmi,firsthub,outdeg,year,complexity,mowideology,concurrences,varcourtqmi,conc,dissents,stat,totalac,nyt,legalsalience,source,unan,post1989
"426/0833","096/2465","049/0245",1975,"burger","unions","REHN",.529,12.3761,49,1976,1.092047,4.297,1,4.090385,1,4,0,10,"p1 nyt story when case decided","Yes","DDC",0,0
"427/0038","096/2406","049/0300",1975,"burger","criminal procedure","REHN",.529,8.7662,20,1976,-.152566,4.297,3,4.090385,1,2,0,1,"not nyt p1 story when decision came down","No","3C",0,0
"427/0050","096/2440","049/0310",1975,"burger","first amendment","STEV",.529,118.6396,83,1976,.6098,.037,1,4.090385,1,4,0,0,"p1 nyt story when case decided","No","6C",0,0
"427/0097","096/2392","049/0342",1975,"burger","due process","STEV",.529,3.008,16,1976,-.152566,.037,0,4.090385,0,2,0,0,"not nyt p1 story when decision came down","No","DCC",0,0
"427/0132","096/2548","049/0396",1975,"burger","federalism","BRN",.529,3.6027,35,1976,-.152566,-2.529,2,4.090385,1,3,1,2,"not nyt p1 story when decision came down","Yes","WI",0,0
"427/0160","096/2586","049/0415",1975,"burger","civil rights","STWT",.529,26.7835,55,1976,.228617,.529,2,4.090385,1,2,1,5,"p1 nyt story when case decided","No","4C",0,0
"427/0215","096/2532","049/0451",1975,"burger","due process","BW",.529,2.572,10,1976,-.152566,.517,0,4.090385,0,3,0,1,"not nyt p1 story when decision came down","No","1C",0,0
"427/0236","096/2543","049/0466",1975,"burger","due process","BW",.529,.1454,3,1976,-.152566,.517,0,4.090385,0,3,0,2,"not nyt p1 story when decision came down","No","2C",0,0
"427/0246","096/2518","049/0474",1975,"burger","economic activity","MAR",.529,.00334,2,1976,-.152566,-2.035,2,4.090385,1,0,0,4,"not nyt p1 story when decision came down","No","8C",1,0
"427/0273","096/2574","049/0493",1975,"burger","civil rights","MAR",.529,1.1296,16,1976,.228617,-2.035,2,4.090385,1,0,1,5,"p1 nyt story when case decided","No","5C",1,0
"427/0328","096/2709","049/0534",1975,"burger","due process","BURG",.6935,11.4336,26,1976,.228617,1.974,1,4.638884,1,2,0,7,"not nyt p1 story when decision came down","No","KYAP",0,0
"427/0347","096/2673","049/0547",1975,"burger","first amendment","BRN",.6935,61.131,49,1976,.7108645,-2.529,2,4.638884,1,3,0,2,"not nyt p1 story when decision came down","No","7C",0,0
"427/0390","096/2718","049/0576",1975,"burger","economic activity","POW",.529,.262,6,1976,-.152566,.935,0,4.090385,0,2,1,8,"not nyt p1 story when decision came down","No","DCC",0,0
"427/0424","096/2697","049/0599",1975,"burger","judicial power","REHN",.6935,1.7389,12,1976,.228617,4.297,0,4.638884,0,2,0,6,"p1 nyt story when case decided","No","9C",0,0
"427/0445","096/2666","049/0614",1975,"burger","civil rights","REHN",.529,4.3509,14,1976,.228617,4.297,2,4.090385,1,0,0,3,"not nyt p1 story when decision came down","No","2C",1,0
"427/0463","096/2737","049/0627",1975,"burger","criminal procedure","BLKM",.529,18.9564,40,1976,.228617,.858,0,4.090385,0,2,0,1,"p1 nyt story when case decided","No","MDAP",0,0
"427/0495","096/2755","049/0651",1975,"burger","civil rights","BLKM",.529,11.7041,30,1976,.228617,.858,0,4.090385,0,3,0,0,"not nyt p1 story when decision came down","No","DRI",0,0
"427/0524","096/2771","049/0672",1975,"burger","civil rights","BLKM",.529,1.259,14,1976,.228617,.858,0,4.090385,0,3,0,1,"not nyt p1 story when decision came down","No","DMD",0,0
"427/0539","096/2791","049/0683",1975,"burger","first amendment","BURG",.529,58.1827,68,1976,-.152566,1.974,6,4.090385,1,0,0,7,"p1 nyt story when case decided","No","NB",1,0
"427/0618","096/2781","049/0732",1975,"burger","criminal procedure","BLKM",.529,4.5548,19,1976,.228617,.858,1,4.090385,1,4,0,0,"not nyt p1 story when decision came down","No","MA",0,0
"428/0052","096/2831","049/0788",1975,"burger","privacy","BLKM",.529,17.4766,22,1976,-.152566,.858,2,4.090385,1,4,0,6,"p1 nyt story when case decided","Yes","EDMO",0,0
"428/0106","096/2868","049/0826",1975,"burger","judicial power","BLKM",.529,24.0819,25,1976,-.152566,.858,1,4.090385,1,4,0,0,"not nyt p1 story when decision came down","No","8C",0,0
"428/0132","096/2857","049/0844",1975,"burger","judicial power","BLKM",.529,6.754,14,1976,-.152566,.858,0,4.090385,0,0,0,0,"not nyt p1 story when decision came down","No","DMA",1,0
"428/0153","096/2909","049/0859",1975,"burger","criminal procedure","STWT",.529,10.2913,26,1976,-.152566,.529,4,4.090385,1,2,0,4,"p1 nyt story when case decided","Yes","GA",0,0
"428/0242","096/2960","049/0913",1975,"burger","criminal procedure","POW",.529,.3756,3,1976,-.152566,.935,4,4.090385,1,2,0,5,"p1 nyt story when case decided","No","FL",0,0
"428/0262","096/2950","049/0929",1975,"burger","criminal procedure","STEV",.529,.2192,5,1976,-.152566,.037,4,4.090385,1,2,0,3,"p1 nyt story when case decided","No","TX",0,0
"428/0280","096/2978","049/0944",1975,"burger","criminal procedure","STWT",.529,3.5173,16,1976,-.152566,.529,2,4.090385,1,4,0,3,"p1 nyt story when case decided","Yes","NC",0,0
"428/0325","096/3001","049/0974",1975,"burger","criminal procedure","STEV",.529,3.5816,18,1976,-.152566,.037,2,4.090385,1,4,0,3,"p1 nyt story when case decided","Yes","LA",0,0
"428/0364","096/3092","049/1000",1975,"burger","criminal procedure","BURG",.529,11.0292,33,1976,-.152566,1.974,1,4.090385,1,4,0,4,"not nyt p1 story when decision came down","No","SD",0,0
"428/0397","096/3141","049/1022",1975,"burger","unions","BW",.529,1.4581,22,1976,-.152566,.517,0,4.090385,0,4,1,4,"not nyt p1 story when decision came down","No","2C",0,0
"428/0433","096/3021","049/1046",1975,"burger","criminal procedure","BLKM",.6935,17.417,38,1976,-.152566,.858,0,4.638884,0,3,0,0,"not nyt p1 story when decision came down","No","9C",0,0
"428/0465","096/3037","049/1067",1975,"burger","criminal procedure","POW",.529,38.6429,87,1976,-.152566,.935,1,4.090385,1,3,0,2,"p1 nyt story when case decided","No","9C",0,0
"428/0543","096/3074","049/1116",1975,"burger","criminal procedure","POW",.529,4.2554,19,1976,-.152566,.935,0,4.090385,0,2,0,1,"not nyt p1 story when decision came down","No","5C",0,0
"428/0579","096/3110","049/1141",1975,"burger","economic activity","STEV",.529,7.4756,44,1976,-.533749,.037,2,4.090385,1,3,0,3,"not nyt p1 story when decision came down","No","6C",0,0
"429/0032","097/0204","050/0199",1976,"burger","federal taxation","STWT",.485,.0232,7,1976,-.152566,.485,1,4.389591,1,4,1,2,"not nyt p1 story when decision came down","No","8C",0,0
"429/0068","097/0219","050/0227",1976,"burger","judicial power","STWT",.485,.9823,8,1976,-.152566,.485,0,4.389591,0,0,1,0,"not nyt p1 story when decision came down","No","DVT",1,0
"429/0078","097/0274","050/0236",1976,"burger","due process","BURG",.485,1.2572,11,1976,-.152566,1.871,0,4.389591,0,2,0,2,"not nyt p1 story when decision came down","No","10C",0,0
"429/0097","097/0285","050/0251",1976,"burger","criminal procedure","MAR",.485,6.2811,17,1976,.228617,-2.336,1,4.389591,1,1,0,0,"not nyt p1 story when decision came down","No","5C",0,0
"429/0125","097/0401","050/0343",1976,"burger","civil rights","REHN",.485,1.4815,22,1976,-.152566,4.243,2,4.389591,1,3,1,16,"p1 nyt story when case decided","No","4C",0,0
"429/0167","097/0421","050/0376",1976,"burger","first amendment","BURG",.485,13.5105,11,1976,-.152566,1.871,3,4.389591,1,0,0,8,"not nyt p1 story when decision came down","No","WI",1,0
"429/0181","097/0431","050/0389",1976,"burger","civil rights","STWT",.485,1.1753,5,1976,1.092047,.485,1,4.389591,1,0,0,0,"p1 nyt story when case decided","No","NDIL",1,0
"429/0190","097/0451","050/0397",1976,"burger","civil rights","BRN",.485,22.3198,56,1976,2.336661,-2.81,4,4.389591,1,2,0,1,"not nyt p1 story when decision came down","Yes","WDOK",0,0
"429/0229","097/0441","050/0427",1976,"burger","civil rights","REHN",.485,.3958,11,1976,-.152566,4.243,4,4.389591,1,0,1,2,"not nyt p1 story when decision came down","No","6C",1,0
"429/0252","097/0555","050/0450",1976,"burger","civil rights","POW",.559,16.0137,43,1977,.228617,.701,0,4.98282,0,3,0,2,"p1 nyt story when case decided","No","7C",0,0
"429/0274","097/0568","050/0471",1976,"burger","first amendment","REHN",.485,5.914,20,1977,.6098,4.243,0,4.389591,0,0,0,0,"not nyt p1 story when decision came down","No","6C",1,0
